Date,Title,URL
2026-02-13,Deep dive into composite semantic models with Direct Lake and import tables,https://powerbi.microsoft.com/en-us/blog/deep-dive-into-composite-semantic-models-with-direct-lake-and-import-tables/
2026-02-13,Modern Visual Tooltips in Power BI (Generally Available),https://powerbi.microsoft.com/en-us/blog/modern-visual-tooltips-in-power-bi-generally-available/
2026-02-13,Introducing Markers in Azure Maps for Power BI,https://powerbi.microsoft.com/en-us/blog/introducing-markers-in-azure-maps-for-power-bi/
2026-02-12,Deprecation of old Excel and CSV import experience in Power BI Service,https://powerbi.microsoft.com/en-us/blog/deprecation-of-old-excel-and-csv-import-experience-in-power-bi-service/
2026-02-12,Power BI Report Server January 2026 Feature Summary,https://powerbi.microsoft.com/en-us/blog/power-bi-report-server-january-2026-feature-summary/
2026-02-10,Power BI January 2026 Feature Summary,https://powerbi.microsoft.com/en-us/blog/power-bi-january-2026-feature-summary/
2026-02-02,The Power BI Dataviz World Champs is back!,https://powerbi.microsoft.com/en-us/blog/the-power-bi-dataviz-world-champs-is-back/
2026-01-26,Power BI 2025 holiday recap: A decade of innovation and impact,https://powerbi.microsoft.com/en-us/blog/power-bi-2025-holiday-recap-a-decade-of-innovation-and-impact/
2026-01-21,Drillthrough in Excel now supported for Direct Lake and DirectQuery Models,https://powerbi.microsoft.com/en-us/blog/drillthrough-in-excel-now-supported-for-direct-lake-and-directquery-models/
2026-01-20,Deprecating Power BI Q&amp;A,https://powerbi.microsoft.com/en-us/blog/deprecating-power-bi-qa/
2026-01-20,Image Visual Enhancements for Report Creators,https://powerbi.microsoft.com/en-us/blog/image-visual-enhancements-for-report-creators/
2026-01-08,TMDL Visual Studio Code Extension (Generally Available),https://powerbi.microsoft.com/en-us/blog/tmdl-visual-studio-code-extension-generally-available/
